Time,wheel1_joint_expected,wheel1_joint_actual,wheel1_joint_error,wheel2_joint_expected,wheel2_joint_actual,wheel2_joint_error,wheel3_joint_expected,wheel3_joint_actual,wheel3_joint_error
1.03,3.050212,3.050209,3e-06,-11.383545,-11.383544,1e-06,8.333333,8.333335,2e-06
1.23,3.050212,3.050209,3e-06,-11.383545,-11.383544,1e-06,8.333333,8.333335,2e-06
1.43,3.050212,3.050209,3e-06,-11.383545,-11.383544,1e-06,8.333333,8.333335,2e-06
1.63,3.050212,3.050209,3e-06,-11.383545,-11.383544,1e-06,8.333333,8.333335,2e-06
1.83,3.050212,3.050209,3e-06,-11.383545,-11.383544,1e-06,8.333333,8.333335,2e-06
2.04,3.050212,3.050209,3e-06,-11.383545,-11.383544,1e-06,8.333333,8.333335,2e-06
2.24,3.050212,3.050209,3e-06,-11.383545,-11.383544,1e-06,8.333333,8.333335,2e-06
2.45,3.050212,3.050209,3e-06,-11.383545,-11.383544,1e-06,8.333333,8.333335,2e-06
2.66,3.050212,3.050209,3e-06,-11.383545,-11.383544,1e-06,8.333333,8.333335,2e-06
2.86,3.050212,3.050209,3e-06,-11.383545,-11.383544,1e-06,8.333333,8.333335,2e-06
3.06,3.050212,3.050209,3e-06,-11.383545,-11.383544,1e-06,8.333333,8.333335,2e-06
3.26,3.050212,3.050209,3e-06,-11.383545,-11.383544,1e-06,8.333333,8.333335,2e-06
3.46,3.050212,3.050209,3e-06,-11.383545,-11.383544,1e-06,8.333333,8.333335,2e-06
3.67,3.050212,3.050209,3e-06,-11.383545,-11.383544,1e-06,8.333333,8.333335,2e-06
3.87,3.050212,3.050209,3e-06,-11.383545,-11.383544,1e-06,8.333333,8.333335,2e-06
4.07,3.050212,3.050209,3e-06,-11.383545,-11.383544,1e-06,8.333333,8.333335,2e-06
4.28,3.050212,3.050209,3e-06,-11.383545,-11.383544,1e-06,8.333333,8.333335,2e-06
4.48,3.050212,3.050209,3e-06,-11.383545,-11.383544,1e-06,8.333333,8.333335,2e-06
4.68,3.050212,3.050209,3e-06,-11.383545,-11.383544,1e-06,8.333333,8.333335,2e-06
4.89,3.050212,3.050209,3e-06,-11.383545,-11.383544,1e-06,8.333333,8.333335,2e-06
5.09,3.050212,3.050209,3e-06,-11.383545,-11.383544,1e-06,8.333333,8.333335,2e-06
5.3,3.050212,3.050209,3e-06,-11.383545,-11.383544,1e-06,8.333333,8.333335,2e-06
5.5,3.050212,3.050209,3e-06,-11.383545,-11.383544,1e-06,8.333333,8.333335,2e-06
5.7,3.050212,3.050209,3e-06,-11.383545,-11.383544,1e-06,8.333333,8.333335,2e-06
5.91,3.050212,3.050209,3e-06,-11.383545,-11.383544,1e-06,8.333333,8.333335,2e-06
