Time,wheel1_joint_expected,wheel1_joint_actual,wheel1_joint_error,wheel2_joint_expected,wheel2_joint_actual,wheel2_joint_error,wheel3_joint_expected,wheel3_joint_actual,wheel3_joint_error
1.03,-4.166667,-4.166668,2e-06,-4.166667,-4.166665,2e-06,8.333333,8.333333,0.0
1.23,-4.166667,-4.166668,2e-06,-4.166667,-4.166665,2e-06,8.333333,8.333333,0.0
1.44,-4.166667,-4.166668,2e-06,-4.166667,-4.166665,2e-06,8.333333,8.333333,0.0
1.64,-4.166667,-4.166668,2e-06,-4.166667,-4.166665,2e-06,8.333333,8.333333,0.0
1.84,-4.166667,-4.166668,2e-06,-4.166667,-4.166665,2e-06,8.333333,8.333333,0.0
2.04,-4.166667,-4.166668,2e-06,-4.166667,-4.166665,2e-06,8.333333,8.333333,0.0
2.25,-4.166667,-4.166668,2e-06,-4.166667,-4.166665,2e-06,8.333333,8.333333,0.0
2.45,-4.166667,-4.166668,2e-06,-4.166667,-4.166665,2e-06,8.333333,8.333333,0.0
2.66,-4.166667,-4.166668,2e-06,-4.166667,-4.166665,2e-06,8.333333,8.333333,0.0
2.86,-4.166667,-4.166668,2e-06,-4.166667,-4.166665,2e-06,8.333333,8.333333,0.0
3.06,-4.166667,-4.166668,2e-06,-4.166667,-4.166665,2e-06,8.333333,8.333333,0.0
3.27,-4.166667,-4.166668,2e-06,-4.166667,-4.166665,2e-06,8.333333,8.333333,0.0
3.47,-4.166667,-4.166668,2e-06,-4.166667,-4.166665,2e-06,8.333333,8.333333,0.0
3.67,-4.166667,-4.166668,2e-06,-4.166667,-4.166665,2e-06,8.333333,8.333333,0.0
3.87,-4.166667,-4.166668,2e-06,-4.166667,-4.166665,2e-06,8.333333,8.333333,0.0
4.07,-4.166667,-4.166668,2e-06,-4.166667,-4.166665,2e-06,8.333333,8.333333,0.0
4.28,-4.166667,-4.166668,2e-06,-4.166667,-4.166665,2e-06,8.333333,8.333333,0.0
4.48,-4.166667,-4.166668,2e-06,-4.166667,-4.166665,2e-06,8.333333,8.333333,0.0
4.68,-4.166667,-4.166668,2e-06,-4.166667,-4.166665,2e-06,8.333333,8.333333,0.0
4.89,-4.166667,-4.166668,2e-06,-4.166667,-4.166665,2e-06,8.333333,8.333333,0.0
5.09,-4.166667,-4.166668,2e-06,-4.166667,-4.166665,2e-06,8.333333,8.333333,0.0
5.29,-4.166667,-4.166668,2e-06,-4.166667,-4.166665,2e-06,8.333333,8.333333,0.0
5.5,-4.166667,-4.166668,2e-06,-4.166667,-4.166665,2e-06,8.333333,8.333333,0.0
5.7,-4.166667,-4.166668,2e-06,-4.166667,-4.166665,2e-06,8.333333,8.333333,0.0
5.9,-4.166667,-4.166668,2e-06,-4.166667,-4.166665,2e-06,8.333333,8.333333,0.0
