Time,wheel1_joint_expected,wheel1_joint_actual,wheel1_joint_error,wheel2_joint_expected,wheel2_joint_actual,wheel2_joint_error,wheel3_joint_expected,wheel3_joint_actual,wheel3_joint_error
1.03,-7.216878,-7.216877,1e-06,7.216878,7.216879,1e-06,0.0,-2e-06,2e-06
1.23,-7.216878,-7.216877,1e-06,7.216878,7.216879,1e-06,0.0,-2e-06,2e-06
1.44,-7.216878,-7.216877,1e-06,7.216878,7.216879,1e-06,0.0,-2e-06,2e-06
1.64,-7.216878,-7.216877,1e-06,7.216878,7.216879,1e-06,0.0,-2e-06,2e-06
1.84,-7.216878,-7.216877,1e-06,7.216878,7.216879,1e-06,0.0,-2e-06,2e-06
2.05,-7.216878,-7.216877,1e-06,7.216878,7.216879,1e-06,0.0,-2e-06,2e-06
2.25,-7.216878,-7.216877,1e-06,7.216878,7.216879,1e-06,0.0,-2e-06,2e-06
2.45,-7.216878,-7.216877,1e-06,7.216878,7.216879,1e-06,0.0,-2e-06,2e-06
2.65,-7.216878,-7.216877,1e-06,7.216878,7.216879,1e-06,0.0,-2e-06,2e-06
2.86,-7.216878,-7.216877,1e-06,7.216878,7.216879,1e-06,0.0,-2e-06,2e-06
3.06,-7.216878,-7.216877,1e-06,7.216878,7.216879,1e-06,0.0,-2e-06,2e-06
3.26,-7.216878,-7.216877,1e-06,7.216878,7.216879,1e-06,0.0,-2e-06,2e-06
3.47,-7.216878,-7.216877,1e-06,7.216878,7.216879,1e-06,0.0,-2e-06,2e-06
3.67,-7.216878,-7.216877,1e-06,7.216878,7.216879,1e-06,0.0,-2e-06,2e-06
3.87,-7.216878,-7.216877,1e-06,7.216878,7.216879,1e-06,0.0,-2e-06,2e-06
4.07,-7.216878,-7.216877,1e-06,7.216878,7.216879,1e-06,0.0,-2e-06,2e-06
4.28,-7.216878,-7.216877,1e-06,7.216878,7.216879,1e-06,0.0,-2e-06,2e-06
4.48,-7.216878,-7.216877,1e-06,7.216878,7.216879,1e-06,0.0,-2e-06,2e-06
4.68,-7.216878,-7.216877,1e-06,7.216878,7.216879,1e-06,0.0,-2e-06,2e-06
4.89,-7.216878,-7.216877,1e-06,7.216878,7.216879,1e-06,0.0,-2e-06,2e-06
5.09,-7.216878,-7.216877,1e-06,7.216878,7.216879,1e-06,0.0,-2e-06,2e-06
5.29,-7.216878,-7.216877,1e-06,7.216878,7.216879,1e-06,0.0,-2e-06,2e-06
5.5,-7.216878,-7.216877,1e-06,7.216878,7.216879,1e-06,0.0,-2e-06,2e-06
5.7,-7.216878,-7.216877,1e-06,7.216878,7.216879,1e-06,0.0,-2e-06,2e-06
5.9,-7.216878,-7.216877,1e-06,7.216878,7.216879,1e-06,0.0,-2e-06,2e-06
