Time,wheel1_joint_expected,wheel1_joint_actual,wheel1_joint_error,wheel2_joint_expected,wheel2_joint_actual,wheel2_joint_error,wheel3_joint_expected,wheel3_joint_actual,wheel3_joint_error
1.02,7.216878,7.216877,1e-06,-7.216878,-7.216879,1e-06,-0.0,2e-06,2e-06
1.23,7.216878,7.216877,1e-06,-7.216878,-7.216879,1e-06,-0.0,2e-06,2e-06
1.43,7.216878,7.216877,1e-06,-7.216878,-7.216879,1e-06,-0.0,2e-06,2e-06
1.64,7.216878,7.216877,1e-06,-7.216878,-7.216879,1e-06,-0.0,2e-06,2e-06
1.84,7.216878,7.216877,1e-06,-7.216878,-7.216879,1e-06,-0.0,2e-06,2e-06
2.04,7.216878,7.216877,1e-06,-7.216878,-7.216879,1e-06,-0.0,2e-06,2e-06
2.25,7.216878,7.216877,1e-06,-7.216878,-7.216879,1e-06,-0.0,2e-06,2e-06
2.45,7.216878,7.216877,1e-06,-7.216878,-7.216879,1e-06,-0.0,2e-06,2e-06
2.65,7.216878,7.216877,1e-06,-7.216878,-7.216879,1e-06,-0.0,2e-06,2e-06
2.85,7.216878,7.216877,1e-06,-7.216878,-7.216879,1e-06,-0.0,2e-06,2e-06
3.06,7.216878,7.216877,1e-06,-7.216878,-7.216879,1e-06,-0.0,2e-06,2e-06
3.27,7.216878,7.216877,1e-06,-7.216878,-7.216879,1e-06,-0.0,2e-06,2e-06
3.48,7.216878,7.216877,1e-06,-7.216878,-7.216879,1e-06,-0.0,2e-06,2e-06
3.68,7.216878,7.216877,1e-06,-7.216878,-7.216879,1e-06,-0.0,2e-06,2e-06
3.89,7.216878,7.216877,1e-06,-7.216878,-7.216879,1e-06,-0.0,2e-06,2e-06
4.09,7.216878,7.216877,1e-06,-7.216878,-7.216879,1e-06,-0.0,2e-06,2e-06
4.3,7.216878,7.216877,1e-06,-7.216878,-7.216879,1e-06,-0.0,2e-06,2e-06
4.5,7.216878,7.216877,1e-06,-7.216878,-7.216879,1e-06,-0.0,2e-06,2e-06
4.71,7.216878,7.216877,1e-06,-7.216878,-7.216879,1e-06,-0.0,2e-06,2e-06
4.91,7.216878,7.216877,1e-06,-7.216878,-7.216879,1e-06,-0.0,2e-06,2e-06
5.11,7.216878,7.216877,1e-06,-7.216878,-7.216879,1e-06,-0.0,2e-06,2e-06
5.32,7.216878,7.216877,1e-06,-7.216878,-7.216879,1e-06,-0.0,2e-06,2e-06
5.52,7.216878,7.216877,1e-06,-7.216878,-7.216879,1e-06,-0.0,2e-06,2e-06
5.72,7.216878,7.216877,1e-06,-7.216878,-7.216879,1e-06,-0.0,2e-06,2e-06
5.93,7.216878,7.216877,1e-06,-7.216878,-7.216879,1e-06,-0.0,2e-06,2e-06
