Time,wheel1_joint_expected,wheel1_joint_actual,wheel1_joint_error,wheel2_joint_expected,wheel2_joint_actual,wheel2_joint_error,wheel3_joint_expected,wheel3_joint_actual,wheel3_joint_error
1.01,-2.395833,-2.395833,0.0,-2.395833,-2.395833,0.0,-2.395833,-2.395833,0.0
1.22,-2.395833,-2.395833,0.0,-2.395833,-2.395833,0.0,-2.395833,-2.395833,0.0
1.42,-2.395833,-2.395833,0.0,-2.395833,-2.395833,0.0,-2.395833,-2.395833,0.0
1.63,-2.395833,-2.395833,0.0,-2.395833,-2.395833,0.0,-2.395833,-2.395833,0.0
1.83,-2.395833,-2.395833,0.0,-2.395833,-2.395833,0.0,-2.395833,-2.395833,0.0
2.03,-2.395833,-2.395833,0.0,-2.395833,-2.395833,0.0,-2.395833,-2.395833,0.0
2.24,-2.395833,-2.395833,0.0,-2.395833,-2.395833,0.0,-2.395833,-2.395833,0.0
2.44,-2.395833,-2.395833,0.0,-2.395833,-2.395833,0.0,-2.395833,-2.395833,0.0
2.64,-2.395833,-2.395833,0.0,-2.395833,-2.395833,0.0,-2.395833,-2.395833,0.0
2.84,-2.395833,-2.395833,0.0,-2.395833,-2.395833,0.0,-2.395833,-2.395833,0.0
3.05,-2.395833,-2.395833,0.0,-2.395833,-2.395833,0.0,-2.395833,-2.395833,0.0
3.25,-2.395833,-2.395833,0.0,-2.395833,-2.395833,0.0,-2.395833,-2.395833,0.0
3.45,-2.395833,-2.395833,0.0,-2.395833,-2.395833,0.0,-2.395833,-2.395833,0.0
3.65,-2.395833,-2.395833,0.0,-2.395833,-2.395833,0.0,-2.395833,-2.395833,0.0
3.85,-2.395833,-2.395833,0.0,-2.395833,-2.395833,0.0,-2.395833,-2.395833,0.0
4.06,-2.395833,-2.395833,0.0,-2.395833,-2.395833,0.0,-2.395833,-2.395833,0.0
4.26,-2.395833,-2.395833,0.0,-2.395833,-2.395833,0.0,-2.395833,-2.395833,0.0
4.46,-2.395833,-2.395833,0.0,-2.395833,-2.395833,0.0,-2.395833,-2.395833,0.0
4.66,-2.395833,-2.395833,0.0,-2.395833,-2.395833,0.0,-2.395833,-2.395833,0.0
4.87,-2.395833,-2.395833,0.0,-2.395833,-2.395833,0.0,-2.395833,-2.395833,0.0
5.07,-2.395833,-2.395833,0.0,-2.395833,-2.395833,0.0,-2.395833,-2.395833,0.0
5.27,-2.395833,-2.395833,0.0,-2.395833,-2.395833,0.0,-2.395833,-2.395833,0.0
5.48,-2.395833,-2.395833,0.0,-2.395833,-2.395833,0.0,-2.395833,-2.395833,0.0
5.68,-2.395833,-2.395833,0.0,-2.395833,-2.395833,0.0,-2.395833,-2.395833,0.0
5.89,-2.395833,-2.395833,0.0,-2.395833,-2.395833,0.0,-2.395833,-2.395833,0.0
