Time,wheel1_joint_expected,wheel1_joint_actual,wheel1_joint_error,wheel2_joint_expected,wheel2_joint_actual,wheel2_joint_error,wheel3_joint_expected,wheel3_joint_actual,wheel3_joint_error
1.01,2.395833,2.395833,0.0,2.395833,2.395833,0.0,2.395833,2.395833,0.0
1.22,2.395833,2.395833,0.0,2.395833,2.395833,0.0,2.395833,2.395833,0.0
1.42,2.395833,2.395833,0.0,2.395833,2.395833,0.0,2.395833,2.395833,0.0
1.62,2.395833,2.395833,0.0,2.395833,2.395833,0.0,2.395833,2.395833,0.0
1.82,2.395833,2.395833,0.0,2.395833,2.395833,0.0,2.395833,2.395833,0.0
2.03,2.395833,2.395833,0.0,2.395833,2.395833,0.0,2.395833,2.395833,0.0
2.23,2.395833,2.395833,0.0,2.395833,2.395833,0.0,2.395833,2.395833,0.0
2.44,2.395833,2.395833,0.0,2.395833,2.395833,0.0,2.395833,2.395833,0.0
2.64,2.395833,2.395833,0.0,2.395833,2.395833,0.0,2.395833,2.395833,0.0
2.85,2.395833,2.395833,0.0,2.395833,2.395833,0.0,2.395833,2.395833,0.0
3.05,2.395833,2.395833,0.0,2.395833,2.395833,0.0,2.395833,2.395833,0.0
3.25,2.395833,2.395833,0.0,2.395833,2.395833,0.0,2.395833,2.395833,0.0
3.46,2.395833,2.395833,0.0,2.395833,2.395833,0.0,2.395833,2.395833,0.0
3.67,2.395833,2.395833,0.0,2.395833,2.395833,0.0,2.395833,2.395833,0.0
3.87,2.395833,2.395833,0.0,2.395833,2.395833,0.0,2.395833,2.395833,0.0
4.07,2.395833,2.395833,0.0,2.395833,2.395833,0.0,2.395833,2.395833,0.0
4.27,2.395833,2.395833,0.0,2.395833,2.395833,0.0,2.395833,2.395833,0.0
4.48,2.395833,2.395833,0.0,2.395833,2.395833,0.0,2.395833,2.395833,0.0
4.68,2.395833,2.395833,0.0,2.395833,2.395833,0.0,2.395833,2.395833,0.0
4.88,2.395833,2.395833,0.0,2.395833,2.395833,0.0,2.395833,2.395833,0.0
5.09,2.395833,2.395833,0.0,2.395833,2.395833,0.0,2.395833,2.395833,0.0
5.29,2.395833,2.395833,0.0,2.395833,2.395833,0.0,2.395833,2.395833,0.0
5.49,2.395833,2.395833,0.0,2.395833,2.395833,0.0,2.395833,2.395833,0.0
5.69,2.395833,2.395833,0.0,2.395833,2.395833,0.0,2.395833,2.395833,0.0
5.89,2.395833,2.395833,0.0,2.395833,2.395833,0.0,2.395833,2.395833,0.0
